pairValue,buyBook,exchangeId,sellBook,updated,buyTotal,satoshiPrice,usdPrice,exchangeLogId,created,bestPair,sellTotalBtc,volume,pairPrice,activePairs,sellTotal,volumeBtc,buyTotalBtc,coinId
1,[],12,[],2019-05-08 11:58:07,415058.18730211,0.0000015099999999999999422575606977670048536310787312686443328857421875,0.000000000089267727,7580983,2019-05-08 11:58:07,btc,1222229.6664584982,0.0,0.0000015099999999999999422575606977670048536310787312686443328857421875,btc,73649.63554871,0.4474801679073809,0.1466430489999534,42
1,[],27,[],2019-05-08 11:58:20,506.0,0.00000100,0.0000000000591177,7580984,2019-05-08 11:58:20,btc,1.8179904929696,0.0,0.00000100,"btc,eth",2428.82344975,0.0,0.00010000000059668177,42
1,[],12,[],2019-03-13 09:13:29,1112112.0,0.00000001,0.000000000000386531,6919902,2019-03-13 09:13:29,btc,29058.00478931866,0.0,0.00000001,btc,5967681.93306694,9.99000999e-07,0.01112112,43
1,[],5,[],2019-04-26 22:38:52,0.0,0,0,7474154,2019-04-26 22:38:52,btc,0.0,0.02638891,0,btc,0.0,0.0,0.0,43
0,[],17,[],2019-04-26 22:38:53,0.0,0,0,7474155,2019-04-26 22:38:53,btc,0.0,0.0,0,btc,0.0,0.0,0.0,43
1,[],12,[],2019-03-05 01:54:08,639326.02,0.00000004,0.000000000001486676,6845775,2019-03-05 01:54:08,btc,11116042.728239931,0.0,0.00000004,btc,1103841.4595604,0.0003330765234764,0.014975410599999999,44
1,[],4,[],2019-05-08 11:58:20,132269170.53432849,0.00000001,0.0000000000005911770000000001,7580985,2019-05-08 11:58:20,btc,436.76468321814764,0.0,0.00000001,"btc,ltc",22792394.84684506,0.00348949,0.2947249798862284,49
0.0000000001255354,[],4,[],2019-05-08 11:58:21,72338948.1953353,7.532124000000001e-17,4.452818469948e-21,7580986,2019-05-08 11:58:21,ltc,21614.647984990475,0.0,0.0000006,ltc,98006128.41952989,0.04123626,1.538952498653183e-09,52
0,[],22,[],2019-05-08 11:58:24,0.0,0,0,7580987,2019-05-08 11:58:24,,10304.87709543,0.0,0,,310505736.4566013,0.0,0.0,57
0.0000000002887263,[],27,[],2019-05-08 11:58:34,10000.0,2.887263e-18,1.7068834785510003e-22,7580988,2019-05-08 11:58:34,eth,0.0,0.0,0.00000001,"btc,eth",0.0,0.0,2.887263e-14,57
0.0000000001255354,[],4,[],2019-05-08 11:58:35,1077222076.1705446,1.255354e-18,7.421364116580001e-23,7580989,2019-05-08 11:58:35,ltc,19.111262685118216,0.0,0.00000001,ltc,5679709113.001969,0.0,1.352295042208998e-09,58
1,[],12,[],2019-05-08 11:58:36,1570098564.0,0.0000000001,0.000000000000005911770000000001,7580990,2019-05-08 11:58:36,btc,11897178.368970994,0.0,0.0000000001,btc,4320967092.693307,0.003571725120879122,0.1570098564,58
0.0000000001117705,[],22,[],2019-05-08 11:58:39,137438.0,1.1177049999999999e-18,6.607614887850001e-23,7580991,2019-05-08 11:58:39,XMR,69.17854956,0.0,0.00000001,XMR,9877516.6,1.1675993512e-13,0.00137438,58
